path_image,path_subtimage,exist_subtimage,image,unit,tile,date,time,filter,exptime,path_ex_cat,path_ex_psf,path_final_cat,path_sub_cat,run_status,error_msg,path_sci_cat,path_subt_cat,exist_sci_cat,exist_subt_cat,n_original_sci,n_selected_sci,n_original_sub,n_selected_sub
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241029_072241_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241029_072241_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241029_072241_m450_300.com.fits,7DT02,T00175,20241029,72241,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241029_072241_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241029_072241_m450_300.com.subt.final.cat,True,True,1594,902,222,53
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241030_014301_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241030_014301_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241030_014301_m450_300.com.fits,7DT02,T00175,20241030,14301,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241030_014301_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241030_014301_m450_300.com.subt.final.cat,True,True,1626,945,258,113
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241031_005756_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241031_005756_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241031_005756_m450_300.com.fits,7DT02,T00175,20241031,5756,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241031_005756_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241031_005756_m450_300.com.subt.final.cat,True,True,3127,2221,1205,669
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241102_045908_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241102_045908_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241102_045908_m450_300.com.fits,7DT02,T00175,20241102,45908,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241102_045908_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241102_045908_m450_300.com.subt.final.cat,True,True,1598,926,156,38
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241103_013927_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241103_013927_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241103_013927_m450_300.com.fits,7DT02,T00175,20241103,13927,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241103_013927_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241103_013927_m450_300.com.subt.final.cat,True,True,1493,901,149,38
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241104_042316_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241104_042316_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241104_042316_m450_300.com.fits,7DT02,T00175,20241104,42316,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241104_042316_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241104_042316_m450_300.com.subt.final.cat,True,True,1512,930,142,42
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241105_012758_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241105_012758_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241105_012758_m450_300.com.fits,7DT02,T00175,20241105,12758,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241105_012758_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241105_012758_m450_300.com.subt.final.cat,True,True,1595,908,189,35
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241106_013048_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241106_013048_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241106_013048_m450_300.com.fits,7DT02,T00175,20241106,13048,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241106_013048_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241106_013048_m450_300.com.subt.final.cat,True,True,1664,916,187,25
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241107_010523_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241107_010523_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241107_010523_m450_300.com.fits,7DT02,T00175,20241107,10523,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241107_010523_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241107_010523_m450_300.com.subt.final.cat,True,True,1254,903,107,32
/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241109_024419_m450_300.com.fits,/data/data1/processed_1x1_gain2750/T00175/7DT02/m450/calib_7DT02_T00175_20241109_024419_m450_300.com.subt.fits,True,calib_7DT02_T00175_20241109_024419_m450_300.com.fits,7DT02,T00175,20241109,24419,m450,300,/,/,/,/,S,,../data/raw/T00175/sci/calib_7DT02_T00175_20241109_024419_m450_300.com.final.cat,../data/raw/T00175/sub/calib_7DT02_T00175_20241109_024419_m450_300.com.subt.final.cat,True,True,1183,883,184,27
