run_id,pipeline,model_type,auroc,f1_macro,accuracy,test_auroc,test_f1,test_acc,has_plots,has_checkpoints,model_family,layout,test_prec,test_rec,f1_real,f1_bogus,optimal_threshold,model,version,data_dir,tune,n_trials,split_by,balance,device,n_workers,seed,max_epochs,batch_size,smoke_test,lr,num_workers,fast_dev_run,balance_data,val_loss,val_acc,val_f1,val_auroc,test_loss,test_avg_precision
m1_cat_gpu,meta,cat,0.9858368729548617,0.9739414259212154,0.9898478205445855,,,,False,False,meta,unified,,,0.9943006489569669,0.9535822028854639,,cat,m1_cat_gpu,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,gpu,4.0,42.0,20.0,256.0,False,,,,,,,,,,
m1_lgbm_cpu,meta,lgbm,0.983526617253233,0.9733729027828,0.9895964623124239,,,,False,False,meta,unified,,,0.9941571828233577,0.9525886227422423,,lgbm,m1_lgbm_cpu,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,cpu,10.0,42.0,20.0,256.0,,,,,,,,,,,
m1_lgbm_gpu,meta,lgbm,,,,,,,False,False,meta,unified,,,,,,lgbm,m1_lgbm_gpu,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,gpu,4.0,42.0,20.0,256.0,,,,,,,,,,,
m1_mlp_gpu,meta,mlp,0.9755548426796627,0.973434472666782,0.9896386545871082,,,,False,False,meta,unified,,,0.9941823071975677,0.9526866381359962,,mlp,m1_mlp_gpu,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,False,gpu,4.0,42.0,50.0,1024.0,False,,,,,,,,,,
m1_rf_baseline,meta,rf,0.9828743368353967,0.9751319640189554,0.9903029584863925,,,,False,False,meta,unified,,,0.9945554764789729,0.9557084515589379,,rf,m1_rf_baseline,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,cpu,10.0,42.0,20.0,256.0,,,,,,,,,,,
m1_xgb_tuned,meta,xgb,0.9846650032345848,0.9726800457772085,0.9893262522128502,,,,False,False,meta,unified,,,0.9940054671752693,0.9513546243791475,,xgb,m1_xgb_tuned,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,gpu,4.0,42.0,20.0,256.0,False,,,,,,,,,,
smoke_test_meta_redesign,meta,rf,0.9934160000000001,0.9649744663859954,0.965,,,,True,False,meta,unified,,,0.9659201557935735,0.9640287769784173,,rf,smoke_test_meta_redesign,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,False,cpu,4.0,42.0,20.0,256.0,True,,,,,,,,,,
smoke_test_rf,meta,rf,0.9828743368353967,0.9751319640189554,0.9903029584863925,,,,False,False,meta,unified,,,0.9945554764789729,0.9557084515589379,,rf,smoke_test_rf,/data/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,cpu,4.0,42.0,20.0,256.0,,,,,,,,,,,
test_cpu,meta,rf,,,,,,,False,False,meta,unified,,,,,,rf,test_cpu,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,False,cpu,4.0,42.0,20.0,256.0,True,,,,,,,,,,
test_fix,meta,xgb,0.9973720000000001,0.9789907349140972,0.979,,,,False,False,meta,unified,,,0.9794319294809011,0.9785495403472931,,xgb,test_fix,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,True,gpu,4.0,42.0,20.0,256.0,True,,,,,,,,,,
test_fix_v2,meta,mlp,0.16986,0.3333333333333333,0.5,,,,False,False,meta,unified,,,0.6666666666666666,0.0,,mlp,test_fix_v2,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,False,gpu,4.0,42.0,20.0,256.0,True,,,,,,,,,,
test_gpu_mlp,meta,mlp,0.16986,0.3333333333333333,0.5,,,,False,False,meta,unified,,,0.6666666666666666,0.0,,mlp,test_gpu_mlp,/lyman/data1/rb_classification_meta/data/stacked_meta,false,20.0,tile,False,gpu,4.0,42.0,20.0,256.0,True,,,,,,,,,,
debug_v2,snapshot,,,,,,,,False,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debug_v3,snapshot,,,,,,,,False,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smoke_test_snap_redesign,snapshot,simplecnn,,,,,,,False,True,snapshot,unified,,,,,,simplecnn,smoke_test_snap_redesign,/lyman/data1/rb_classification_meta/data/norm_snapshot,,,,,,,,1.0,128.0,,0.001,4.0,True,False,,,,,,
test_resnet,snapshot,,,,,,,,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
test_v1,snapshot,,,,,,,,True,False,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1,snapshot,,,,,,,,False,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2A_bal_bs512_lr3e4,snapshot,,,,,,,,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v2_resnet,snapshot,resnet,0.9976179218841008,0.9989032745361328,0.9979361295700073,0.9976179218841008,0.9989032745361328,0.9979361295700073,True,True,snapshot,unified,0.9993752241134644,0.9984317421913147,,,0.11,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.022083889693021774,0.9997719165464081
v3_convnext_tiny,snapshot,convnext_tiny,0.9973745545098393,0.9625908743751705,0.9912270652796511,0.9973745545098393,0.9625908743751705,0.9912270652796511,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_efficientnet_b0,snapshot,efficientnet_b0,0.9968435017290366,0.9887262170924799,0.9974908076347444,0.9968435017290366,0.9887262170924799,0.9974908076347444,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_efficientnet_b1,snapshot,efficientnet_b1,0.9976575367147721,0.9918585460535949,0.9981947857578389,0.9976575367147721,0.9918585460535949,0.9981947857578389,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_mobilenet_v3_large,snapshot,mobilenet_,0.9978398685683999,0.9894214211314907,0.9976404722750873,0.9978398685683999,0.9894214211314907,0.9976404722750873,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_mobilenet_v3_small,snapshot,mobilenet_,0.9970676131867392,0.9851672100349752,0.9966778145267087,0.9970676131867392,0.9851672100349752,0.9966778145267087,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_otrain,snapshot,otrain,0.9972919286192053,0.9913441219534532,0.9980783799264611,0.9972919286192053,0.9913441219534532,0.9980783799264611,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_resnet18,snapshot,resnet18,0.9976500938315083,0.990572953949689,0.9979028473235897,0.9976500938315083,0.990572953949689,0.9979028473235897,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_resnet34,snapshot,resnet34,0.9976595184489665,0.9944054378491326,0.9987675763566822,0.9976595184489665,0.9944054378491326,0.9987675763566822,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v3_resnet50,snapshot,resnet50,0.9974408729644788,0.9911298087387178,0.9980303394246226,0.9974408729644788,0.9911298087387178,0.9980303394246226,True,True,snapshot,unified,,,,,,,,,,,,,,,,,,,,,,,,,,,,
